,Artist,Title,Writers,Producer,Year,Spotify id,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
283,Hank Williams,Your Cheatin' Heart,"Williams, Fred Rose",Rose,53,13Oi7vfd9mrujcEmGAYAPe,54,0.672,0.243,0,-11.634,1,0.0281,0.774,1.79e-05,0.082,0.689,127.716,audio_features,13Oi7vfd9mrujcEmGAYAPe,spotify:track:13Oi7vfd9mrujcEmGAYAPe,https://api.spotify.com/v1/tracks/13Oi7vfd9mrujcEmGAYAPe,https://api.spotify.com/v1/audio-analysis/13Oi7vfd9mrujcEmGAYAPe,161640,4
284,Neil Young,Rockin' in the Free World,Young,"Niko Bolas, Young",89,4Y7fEQ4PAzhlLnLviRw2P4,68,0.491,0.883,4,-4.986,0,0.0306,0.000736,3.19e-05,0.369,0.518,131.75,audio_features,4Y7fEQ4PAzhlLnLviRw2P4,spotify:track:4Y7fEQ4PAzhlLnLviRw2P4,https://api.spotify.com/v1/tracks/4Y7fEQ4PAzhlLnLviRw2P4,https://api.spotify.com/v1/audio-analysis/4Y7fEQ4PAzhlLnLviRw2P4,281853,4
285,Prince,1999,Prince,Prince,82,2H7PHVdQ3mXqEHXcvclTB0,69,0.866,0.73,5,-8.201,1,0.0767,0.137,0.0,0.0843,0.625,118.523,audio_features,2H7PHVdQ3mXqEHXcvclTB0,spotify:track:2H7PHVdQ3mXqEHXcvclTB0,https://api.spotify.com/v1/tracks/2H7PHVdQ3mXqEHXcvclTB0,https://api.spotify.com/v1/audio-analysis/2H7PHVdQ3mXqEHXcvclTB0,379267,4
286,The Beach Boys,"Caroline, No","Brian Wilson, Tony Asher",Wilson,66,5RSQKtG1KNwrzFMEePpjt6,50,0.402,0.426,10,-9.662,0,0.0262,0.775,6.12e-06,0.175,0.641,75.866,audio_features,5RSQKtG1KNwrzFMEePpjt6,spotify:track:5RSQKtG1KNwrzFMEePpjt6,https://api.spotify.com/v1/tracks/5RSQKtG1KNwrzFMEePpjt6,https://api.spotify.com/v1/audio-analysis/5RSQKtG1KNwrzFMEePpjt6,173933,4
287,and the Mysterians,96 Tears,Rudy Martinez,Martinez,66,4PEeZ2U4UfP2Jo8EtIOjus,55,0.65,0.562,7,-5.965,1,0.0345,0.0624,3.21e-05,0.076,0.882,123.674,audio_features,4PEeZ2U4UfP2Jo8EtIOjus,spotify:track:4PEeZ2U4UfP2Jo8EtIOjus,https://api.spotify.com/v1/tracks/4PEeZ2U4UfP2Jo8EtIOjus,https://api.spotify.com/v1/audio-analysis/4PEeZ2U4UfP2Jo8EtIOjus,176867,4
288,The Beach Boys,In My Room,"Brian Wilson, Gary Usher",Wilson,63,62fX8EW16l8St2yL8rMer9,54,0.341,0.416,11,-9.574,1,0.0265,0.184,6.28e-05,0.0917,0.499,102.886,audio_features,62fX8EW16l8St2yL8rMer9,spotify:track:62fX8EW16l8St2yL8rMer9,https://api.spotify.com/v1/tracks/62fX8EW16l8St2yL8rMer9,https://api.spotify.com/v1/audio-analysis/62fX8EW16l8St2yL8rMer9,134133,3
289,Them,Gloria,Van Morrison,Tommy Scott,65,1DKyFVzIh1oa1fFnEmTkIl,64,0.641,0.703,9,-10.434,1,0.0518,0.397,0.00546,0.104,0.722,129.118,audio_features,1DKyFVzIh1oa1fFnEmTkIl,spotify:track:1DKyFVzIh1oa1fFnEmTkIl,https://api.spotify.com/v1/tracks/1DKyFVzIh1oa1fFnEmTkIl,https://api.spotify.com/v1/audio-analysis/1DKyFVzIh1oa1fFnEmTkIl,156800,4
290,The Everly Brothers,Bye Bye Love,Boudleaux and Felice Bryant,Archie Bleyer,57,6oRHRkQigTzJ3KwpO3XOV6,62,0.547,0.523,9,-9.176,1,0.0572,0.724,0.0,0.103,0.89,169.598,audio_features,6oRHRkQigTzJ3KwpO3XOV6,spotify:track:6oRHRkQigTzJ3KwpO3XOV6,https://api.spotify.com/v1/tracks/6oRHRkQigTzJ3KwpO3XOV6,https://api.spotify.com/v1/audio-analysis/6oRHRkQigTzJ3KwpO3XOV6,142907,4
291,The Four Tops,"Reach Out, I'll Be There","Eddie Holland, Lamont Dozier, Brian Holland","Holland, Dozier, Holland",66,6Pkj4nv5K53i64cLVgkVyY,57,0.607,0.599,3,-8.908,0,0.0282,0.0253,0.0,0.188,0.735,119.842,audio_features,6Pkj4nv5K53i64cLVgkVyY,spotify:track:6Pkj4nv5K53i64cLVgkVyY,https://api.spotify.com/v1/tracks/6Pkj4nv5K53i64cLVgkVyY,https://api.spotify.com/v1/audio-analysis/6Pkj4nv5K53i64cLVgkVyY,178533,4
292,Bill Withers,Lean on Me,Withers,Withers,72,3M8FzayQWtkvOhqMn2V4T2,72,0.619,0.22,0,-13.843,1,0.0667,0.782,1.19e-05,0.124,0.423,75.16,audio_features,3M8FzayQWtkvOhqMn2V4T2,spotify:track:3M8FzayQWtkvOhqMn2V4T2,https://api.spotify.com/v1/tracks/3M8FzayQWtkvOhqMn2V4T2,https://api.spotify.com/v1/audio-analysis/3M8FzayQWtkvOhqMn2V4T2,258835,4
